pulseheight,counts_ch_A,counts_ch_B
90.58454227113559,14,35
90.73311655827916,22,42
90.88169084542272,24,47
91.03026513256631,15,35
91.17883941970987,30,44
91.32741370685345,22,39
91.47598799399702,28,30
91.62456228114058,27,34
91.77313656828417,29,50
91.92171085542773,35,40
92.0702851425713,46,32
92.21885942971488,43,27
92.36743371685844,43,44
92.51600800400203,44,42
92.66458229114559,38,30
92.81315657828915,67,34
92.96173086543274,47,39
93.1103051525763,62,41
93.25887943971989,62,27
93.40745372686345,60,29
93.55602801400701,67,32
93.7046023011506,76,26
93.85317658829416,96,32
94.00175087543775,77,25
94.15032516258131,89,31
94.29889944972487,76,32
94.44747373686846,89,20
94.59604802401202,90,23
94.74462231115561,91,14
94.89319659829917,98,29
95.04177088544273,109,18
95.19034517258632,89,10
95.33891945972988,102,17
95.48749374687347,97,13
95.63606803401703,106,13
95.78464232116059,78,18
95.93321660830418,108,9
96.08179089544774,96,17
96.23036518259133,113,12
96.37893946973489,96,7
96.52751375687845,91,12
96.67608804402204,81,10
96.8246623311656,93,13
96.97323661830919,69,8
97.12181090545275,109,13
97.27038519259631,73,7
97.4189594797399,91,6
97.56753376688346,85,8
97.71610805402705,83,6
97.8646823411706,70,12
98.01325662831417,72,4
98.16183091545776,63,5
98.31040520260132,65,6
98.4589794897449,56,6
98.60755377688847,68,3
98.75612806403203,55,3
98.90470235117562,65,3
99.05327663831918,57,5
99.20185092546276,43,4
99.35042521260632,53,5
99.49899949974989,34,5
99.64757378689347,51,6
99.79614807403703,34,3
99.94472236118062,36,9
100.09329664832418,31,6
100.24187093546774,22,5
100.39044522261133,27,5
100.5390195097549,22,5
100.68759379689848,20,3
100.83616808404204,17,0
100.9847423711856,16,3
101.13331665832919,15,3
101.28189094547275,14,7
101.43046523261634,13,2
101.5790395197599,11,6
101.72761380690346,12,9
101.87618809404705,9,5
102.02476238119061,8,9
102.1733366683342,6,7
102.32191095547776,6,6
102.47048524262132,8,8
102.61905952976491,5,7
102.76763381690847,7,4
102.91620810405206,5,7
103.06478239119562,3,0
103.21335667833918,9,8
103.36193096548277,7,8
103.51050525262633,2,9
103.65907953976992,5,10
103.80765382691348,7,7
103.95622811405704,2,8
104.10480240120063,8,8
104.25337668834419,3,9
104.40195097548778,6,3
104.55052526263134,6,14
104.6990995497749,4,15
104.84767383691849,4,7
104.99624812406205,4,7
105.14482241120564,6,6
105.2933966983492,5,4
105.44197098549276,4,6
105.59054527263635,7,10
105.73911955977991,3,10
105.8876938469235,4,7
106.03626813406706,6,8
106.18484242121062,6,5
106.3334167083542,8,9
106.48199099549777,3,6
106.63056528264136,7,11
106.77913956978492,10,3
106.92771385692848,9,9
107.07628814407207,9,4
107.22486243121563,9,8
107.37343671835922,10,4
107.52201100550278,6,5
107.67058529264634,5,8
107.81915957978993,7,3
107.96773386693349,1,2
108.11630815407707,5,4
108.26488244122064,13,5
108.4134567283642,12,3
108.56203101550778,2,5
108.71060530265135,7,3
108.85917958979493,4,4
109.0077538769385,7,3
109.15632816408205,8,4
109.30490245122564,6,2
109.4534767383692,5,6
109.6020510255128,5,5
109.75062531265635,13,0
109.89919959979991,5,2
110.0477738869435,6,2
110.19634817408706,13,1
110.34492246123065,3,2
110.49349674837421,9,3
110.64207103551777,12,3
110.79064532266136,9,2
110.93921960980492,10,4
111.08779389694851,8,1
111.23636818409207,4,5
111.38494247123563,3,1
111.53351675837922,4,4
111.68209104552278,8,0
111.83066533266637,5,1
111.97923961980993,8,2
112.12781390695349,8,1
112.27638819409708,5,2
112.42496248124064,3,0
112.57353676838423,8,3
112.72211105552779,5,1
112.87068534267135,1,2
113.01925962981494,3,4
113.1678339169585,5,4
113.31640820410209,2,0
113.46498249124565,3,2
113.61355677838921,5,3
113.7621310655328,4,3
113.91070535267636,2,3
114.05927963981995,6,1
114.20785392696351,3,2
114.35642821410707,3,1
114.50500250125066,4,2
114.65357678839422,0,0
114.80215107553781,2,3
114.95072536268137,1,0
115.09929964982493,2,2
115.24787393696852,6,1
115.39644822411208,3,3
115.54502251125567,2,1
115.69359679839923,3,0
115.84217108554279,0,0
115.99074537268638,2,2
116.13931965982994,4,0
116.28789394697353,1,2
116.43646823411709,0,0
116.58504252126065,2,0
116.73361680840424,5,1
116.8821910955478,1,0
117.03076538269138,6,2
117.17933966983495,2,1
117.3279139569785,2,2
117.4764882441221,4,1
117.62506253126566,1,1
117.77363681840923,1,0
117.9222111055528,0,3
118.07078539269637,5,0
118.21935967983995,0,4
118.36793396698351,2,1
118.51650825412709,1,2
118.66508254127066,3,0
118.81365682841422,0,1
118.96223111555781,2,0
119.11080540270137,2,0
119.25937968984495,1,3
119.40795397698852,3,0
119.55652826413208,1,1
119.70510255127567,3,1
119.85367683841923,1,1
120.00225112556281,0,2
120.15082541270638,1,1
120.29939969984994,1,0
120.44797398699353,2,0
120.59654827413709,2,3
120.74512256128067,1,4
120.89369684842424,2,2
121.0422711355678,2,1
121.19084542271139,3,3
121.33941970985495,0,1
121.48799399699853,0,1
121.6365682841421,1,0
121.78514257128566,1,0
121.93371685842925,1,0
122.08229114557281,1,1
122.23086543271639,1,5
122.37943971985996,1,2
122.52801400700352,3,4
122.67658829414711,0,0
122.82516258129067,1,0
122.97373686843424,2,1
123.12231115557782,1,1
123.27088544272138,0,0
123.41945972986497,2,1
123.56803401700853,0,5
123.7166083041521,0,1
123.86518259129568,1,1
124.01375687843924,1,4
124.16233116558283,1,1
124.31090545272639,3,1
124.45947973986996,1,2
124.60805402701354,1,0
124.7566283141571,0,1
124.90520260130069,0,1
125.05377688844425,1,2
125.20235117558782,0,3
125.3509254627314,0,3
125.49949974987496,1,1
125.64807403701855,2,1
125.7966483241621,0,0
125.94522261130568,0,1
126.09379689844926,1,3
126.24237118559282,1,0
126.3909454727364,2,2
126.53951975987997,0,0
126.68809404702354,3,1
126.83666833416711,3,5
126.98524262131068,2,1
127.13381690845426,1,2
127.28239119559782,2,0
127.4309654827414,0,0
127.57953976988497,2,0
127.72811405702853,2,0
127.87668834417212,0,1
128.02526263131568,3,2
128.17383691845927,0,1
128.32241120560283,0,3
128.47098549274642,1,0
128.61955977988998,0,3
128.76813406703354,0,2
128.91670835417713,0,0
129.0652826413207,1,3
129.21385692846428,2,1
129.36243121560784,0,3
129.5110055027514,1,2
129.659579789895,2,0
129.80815407703855,0,1
129.95672836418214,3,0
130.1053026513257,1,1
130.25387693846926,1,2
130.40245122561285,3,0
130.5510255127564,0,0
130.6995997999,0,1
130.84817408704356,0,2
130.99674837418712,3,1
131.14532266133068,2,1
131.29389694847427,3,0
131.44247123561783,1,0
131.59104552276142,4,0
131.73961980990498,2,0
131.88819409704854,1,2
132.03676838419213,2,1
132.1853426713357,2,2
132.33391695847928,2,2
132.48249124562284,1,0
132.6310655327664,0,1
132.77963981991,3,0
132.92821410705355,3,0
133.07678839419714,0,0
133.2253626813407,2,0
133.37393696848426,2,0
133.52251125562785,0,0
133.6710855427714,3,0
133.819659829915,2,1
133.96823411705856,0,1
134.11680840420212,1,1
134.2653826913457,0,0
134.41395697848927,0,0
134.56253126563286,1,1
134.71110555277642,2,0
134.85967983991998,0,0
135.00825412706357,2,1
135.15682841420713,3,0
135.30540270135072,1,0
135.45397698849428,2,1
135.60255127563784,2,0
135.75112556278143,1,1
135.89969984992499,0,1
136.04827413706857,2,0
136.19684842421213,1,2
136.3454227113557,0,1
136.49399699849928,3,3
136.64257128564284,1,1
136.79114557278643,0,0
136.93971985993,2,0
137.08829414707355,0,0
137.23686843421714,0,0
137.3854427213607,1,1
137.5340170085043,0,2
137.68259129564785,0,0
137.8311655827914,1,0
137.979739869935,2,1
138.12831415707856,2,1
138.27688844422215,1,1
138.4254627313657,3,1
138.57403701850927,2,1
138.72261130565286,2,1
138.87118559279642,0,0
139.01975987994,1,1
139.16833416708357,1,1
139.31690845422713,1,1
139.46548274137072,1,0
139.61405702851428,0,0
139.76263131565787,0,1
139.91120560280143,1,0
140.059779889945,1,1
140.20835417708858,1,0
140.35692846423214,1,1
140.50550275137573,1,0
140.6540770385193,0,1
140.80265132566285,1,0
140.95122561280644,1,0
141.09979989995,0,0
141.2483741870936,1,1
141.39694847423715,0,3
141.5455227613807,0,0
141.6940970485243,0,1
141.84267133566786,1,2
141.99124562281145,0,2
142.139819909955,1,0
142.28839419709857,1,1
142.43696848424216,0,1
142.58554277138572,0,1
142.7341170585293,0,1
142.88269134567287,2,0
143.03126563281643,1,2
143.17983991996002,1,2
143.32841420710358,1,0
143.47698849424717,1,1
143.62556278139073,1,1
143.7741370685343,1,1
143.92271135567788,1,1
144.07128564282144,1,0
144.21985992996503,0,0
144.3684342171086,0,0
144.51700850425215,1,0
144.66558279139574,0,4
144.8141570785393,1,0
144.96273136568288,2,2
145.11130565282645,1,0
145.25987993997,1,2
145.4084542271136,1,0
145.55702851425715,0,1
145.70560280140074,0,2
145.8541770885443,0,0
146.00275137568786,0,0
146.15132566283145,0,2
146.299899949975,1,1
146.4484742371186,0,1
146.59704852426216,1,1
146.74562281140572,0,3
146.8941970985493,0,2
147.04277138569287,2,0
147.19134567283646,2,1
147.33991995998002,0,2
147.48849424712358,0,0
147.63706853426717,0,1
147.78564282141073,0,0
147.93421710855432,0,3
148.08279139569788,0,1
148.23136568284144,0,0
148.37993996998503,0,0
148.5285142571286,2,2
148.67708854427218,2,1
148.82566283141574,1,0
148.9742371185593,1,4
149.1228114057029,0,0
149.27138569284645,1,2
149.41995997999004,0,0
149.5685342671336,0,0
149.71710855427716,1,1
149.86568284142075,1,2
150.0142571285643,0,2
150.1628314157079,1,1
150.31140570285146,0,0
150.45997998999502,1,1
150.6085542771386,2,1
150.75712856428217,1,4
150.90570285142576,1,1
151.05427713856932,0,3
151.20285142571288,0,0
151.35142571285647,2,2
151.50000000000003,0,0
151.64857428714362,0,1
151.79714857428718,0,0
151.94572286143074,0,0
152.09429714857433,0,0
152.2428714357179,0,2
152.39144572286148,0,0
152.54002001000504,0,1
152.6885942971486,0,0
152.8371685842922,1,0
152.98574287143575,3,0
153.13431715857934,1,1
153.2828914457229,1,1
153.43146573286646,1,0
153.58004002001005,2,1
153.7286143071536,3,3
153.8771885942972,0,1
154.02576288144076,1,0
154.17433716858432,1,1
154.3229114557279,0,1
154.47148574287147,0,0
154.62006003001505,1,1
154.76863431715861,1,0
154.91720860430217,1,1
155.06578289144576,0,1
155.21435717858932,0,0
155.3629314657329,2,1
155.51150575287647,2,0
155.66008004002003,4,1
155.80865432716362,1,2
155.95722861430718,1,2
156.10580290145077,0,0
156.25437718859433,2,1
156.4029514757379,0,0
156.55152576288148,0,0
156.70010005002504,0,3
156.84867433716863,2,1
156.9972486243122,0,0
157.14582291145575,1,0
157.29439719859934,1,1
157.4429714857429,0,0
157.5915457728865,1,0
157.74012006003005,0,1
157.8886943471736,1,0
158.0372686343172,0,2
158.18584292146076,1,1
158.33441720860435,3,1
158.4829914957479,2,0
158.63156578289147,1,1
158.78014007003506,0,0
158.92871435717862,1,1
159.0772886443222,4,1
159.22586293146577,2,1
159.37443721860933,0,0
159.52301150575292,4,1
159.67158579289648,1,0
159.82016008004007,2,0
159.96873436718363,1,0
160.1173086543272,1,0
160.26588294147078,1,0
160.41445722861434,1,0
160.56303151575793,0,1
160.7116058029015,0,0
160.86018009004505,0,0
161.00875437718864,1,0
161.1573286643322,2,0
161.3059029514758,1,1
161.45447723861935,1,1
161.6030515257629,1,1
161.7516258129065,2,0
161.90020010005006,2,0
162.04877438719365,1,0
162.1973486743372,1,1
162.34592296148077,1,0
162.49449724862436,0,1
162.64307153576792,0,0
162.7916458229115,3,0
162.94022011005507,0,1
163.08879439719863,0,3
163.23736868434221,0,1
163.38594297148578,0,0
163.53451725862936,0,2
163.68309154577292,1,0
163.83166583291649,0,1
163.98024012006007,1,0
164.12881440720363,0,1
164.27738869434722,0,1
164.42596298149078,0,2
164.57453726863434,0,0
164.72311155577793,3,1
164.8716858429215,1,1
165.02026013006508,2,1
165.16883441720864,2,1
165.3174087043522,1,0
165.4659829914958,0,1
165.61455727863935,1,0
165.76313156578294,2,0
165.9117058529265,0,1
166.06028014007006,0,1
166.20885442721365,1,0
166.3574287143572,2,1
166.5060030015008,1,0
166.65457728864436,0,1
166.80315157578792,0,0
166.9517258629315,1,0
167.10030015007507,0,0
167.24887443721866,1,0
167.39744872436222,0,1
167.54602301150578,0,0
167.69459729864937,0,0
167.84317158579293,1,0
167.99174587293652,0,0
168.14032016008008,0,1
168.28889444722364,0,0
168.43746873436723,0,1
168.5860430215108,0,1
168.73461730865438,0,1
168.88319159579794,1,0
169.0317658829415,0,0
169.1803401700851,2,0
169.32891445722865,0,1
169.47748874437224,0,0
169.6260630315158,2,1
169.77463731865936,0,1
169.92321160580295,1,0
170.0717858929465,0,0
170.2203601800901,0,1
170.36893446723366,1,0
170.51750875437722,1,0
170.6660830415208,0,0
170.81465732866437,0,0
170.96323161580796,1,0
171.11180590295152,0,0
171.26038019009508,0,1
171.40895447723867,1,0
171.55752876438223,0,1
171.70610305152582,2,1
171.85467733866938,1,0
172.00325162581294,0,0
172.15182591295653,0,1
172.30040020010009,0,1
172.44897448724367,0,0
172.59754877438723,0,0
172.7461230615308,0,0
172.89469734867438,0,0
173.04327163581794,0,1
173.19184592296153,0,0
173.3404202101051,0,1
173.48899449724865,1,1
173.63756878439224,2,0
173.7861430715358,0,1
173.9347173586794,2,1
174.08329164582295,0,1
174.2318659329665,1,1
174.3804402201101,0,0
174.52901450725366,1,0
174.67758879439725,2,1
174.8261630815408,0,1
174.97473736868437,0,0
175.12331165582796,0,0
175.27188594297152,0,2
